from_station_name,to_station_name,month,year,sum_values_pass
אופקים,שדרות,11,2025,984
אשקלון,מודיעין מרכז,11,2025,426
נתניה,עפולה,11,2025,171
ירושלים/יצחק נבון,מודיעין מרכז,11,2025,24334
בית שאן,יבנה מזרח,11,2025,9
מרכזית המפרץ/קו החוף,להבים רהט,11,2025,360
צומת חולון,כפר יהושע,11,2025,8
קרית אריה,בני ברק,11,2025,802
כפר חבד,קרית מלאכי,11,2025,261
בית שאן,תל אביב ההגנה,11,2025,554
דימונה,כפר חבד,11,2025,8
כפר סבא,מזכרת בתיה,11,2025,134
מודיעין מרכז,כפר חבד,11,2025,90
חולון וולפסון,אשקלון,11,2025,2240
תל אביב ההגנה,תל אביב מרכז,11,2025,4711
יבנה מערב,נתניה,11,2025,750
כפר סבא,הרצליה,11,2025,1821
עפולה,כפר חבד,11,2025,54
יבנה מזרח,בת ים יוספטל,11,2025,6
רחובות,רמלה,11,2025,134
לוד,בית שאן,11,2025,153
להבים רהט,בני ברק,11,2025,48
צומת חולון,כפר חבד,11,2025,3
רעננה מערב,חוצות מפרץ,11,2025,26
בת גלים,אשדוד עד הלום,11,2025,700
דימונה,חוצות מפרץ,11,2025,7
חיפה מרכז,תל אביב מרכז,11,2025,9121
קרית אריה,בנימינה,11,2025,864
נתניה קריית ספיר,קרית אריה,11,2025,423
בית יהושע,"רשל""צ משה דיין",11,2025,794
בני ברק,כפר חבד,11,2025,155
אופקים,מרכזית המפרץ/קו החוף,11,2025,504
רעננה מערב,ירושלים/יצחק נבון,11,2025,2449
נהריה,אשקלון,11,2025,764
באר שבע צפון,כפר חבד,11,2025,166
תל אביב מרכז,חולון וולפסון,11,2025,2155
רחובות,פאתי מודיעין,11,2025,73
נתניה קריית ספיר,בת גלים,11,2025,905
אשקלון,הרצליה,11,2025,3184
חדרה מערב,עכו,11,2025,636
באר יעקב,הרצליה,11,2025,2084
רעננה מערב,רחובות,11,2025,397
קרית מלאכי,להבים רהט,11,2025,202
ראש העין צפון,בת ים יוספטל,11,2025,796
מרכזית המפרץ/קו החוף,יבנה מזרח,11,2025,52
קרית גת,להבים רהט,11,2025,392
קרית גת,צומת חולון,11,2025,40
קרית חיים,קיסריה פרדס חנה,11,2025,134
לוד,בית יהושע,11,2025,714
לוד,מודיעין מרכז,11,2025,116
אשקלון,הוד השרון,11,2025,496
קרית אריה,מרכזית המפרץ/קו החוף,11,2025,555
אופקים,"רשל""צ משה דיין",11,2025,1533
כפר ברוך,קרית אריה,11,2025,22
תא אוניברסיטה,להבים רהט,11,2025,1216
תל אביב מרכז,סגולה,11,2025,2866
בת ים יוספטל,פאתי מודיעין,11,2025,64
פאתי מודיעין,להבים רהט,11,2025,8
בית יהושע,נהריה,11,2025,494
תל אביב מרכז,קרית חיים,11,2025,1643
עכו,חיפה מרכז,11,2025,5678
באר יעקב,בת ים קוממיות,11,2025,27
חוף הכרמל,כרמיאל,11,2025,5804
בנימינה,עכו,11,2025,1161
ראש העין צפון,רעננה מערב,11,2025,1087
חולון וולפסון,בני ברק,11,2025,458
