from_station_name,to_station_name,month,year,sum_values_pass
תל אביב ההגנה,ראש העין צפון,11,2025,2191
מודיעין מרכז,בית שאן,11,2025,290
מודיעין מרכז,רעננה דרום,11,2025,137
תל אביב מרכז,יבנה מערב,11,2025,10321
מזכרת בתיה,נתניה קריית ספיר,11,2025,104
חדרה מערב,קרית חיים,11,2025,151
פאתי מודיעין,כפר חבד,11,2025,5
רמלה,אחיהוד,11,2025,44
קרית מוצקין,הרצליה,11,2025,3679
נתניה קריית ספיר,פאתי מודיעין,11,2025,186
הרצליה,הוד השרון,11,2025,1784
יבנה מערב,אשקלון,11,2025,4959
נתיבות,"נתב""ג",11,2025,398
להבים רהט,עכו,11,2025,142
חוצות מפרץ,קרית גת,11,2025,52
תל אביב מרכז,דימונה,11,2025,133
נתיבות,תל אביב ההגנה,11,2025,1695
חולון וולפסון,נתניה קריית ספיר,11,2025,244
כפר חבד,בת גלים,11,2025,118
להבים רהט,בת ים קוממיות,11,2025,28
קרית אריה,אופקים,11,2025,618
נתיבות,עכו,11,2025,66
פאתי מודיעין,אשקלון,11,2025,120
נתניה קריית ספיר,חוצות מפרץ,11,2025,168
יבנה מזרח,חוצות מפרץ,11,2025,20
מודיעין מרכז,חולון וולפסון,11,2025,151
באר שבע צפון,עפולה,11,2025,174
עכו,רחובות,11,2025,374
כפר חבד,פאתי מודיעין,11,2025,25
כרמיאל,"רשל""צ משה דיין",11,2025,428
נתניה קריית ספיר,באר שבע צפון,11,2025,397
לוד גני אביב,בת ים קוממיות,11,2025,51
נתיבות,כפר ברוך,11,2025,11
מרכזית המפרץ/קו החוף,"רשל""צ משה דיין",11,2025,886
באר יעקב,הוד השרון,11,2025,105
בני ברק,נתיבות,11,2025,303
בית יהושע,להבים רהט,11,2025,118
ירושלים/יצחק נבון,חיפה מרכז,11,2025,2736
לוד גני אביב,"נתב""ג",11,2025,263
בנימינה,מזכרת בתיה,11,2025,286
"רשל""צ משה דיין",מודיעין מרכז,11,2025,183
חולון וולפסון,הוד השרון,11,2025,277
פאתי מודיעין,קרית חיים,11,2025,33
אשקלון,שדרות,11,2025,1740
רמלה,קיסריה פרדס חנה,11,2025,75
נהריה,צומת חולון,11,2025,131
באר שבע צפון,קרית חיים,11,2025,42
באר שבע מרכז,מזכרת בתיה,11,2025,2565
לוד גני אביב,תל אביב מרכז,11,2025,3731
עפולה,תל אביב מרכז,11,2025,2928
"רשל""צ משה דיין",צומת חולון,11,2025,169
השלום,בית שמש,11,2025,10807
בית יהושע,לוד,11,2025,774
כפר יהושע,קרית מוצקין,11,2025,75
באר יעקב,נהריה,11,2025,185
עפולה,"נתב""ג",11,2025,1439
נתניה קריית ספיר,צומת חולון,11,2025,95
הוד השרון,דימונה,11,2025,1
כפר סבא,בני ברק,11,2025,2539
בני ברק,תא אוניברסיטה,11,2025,338
עתלית,בית יהושע,11,2025,120
קרית אריה,בית יהושע,11,2025,243
כפר ברוך,באר יעקב,11,2025,15
כפר סבא,דימונה,11,2025,2
אחיהוד,אשדוד עד הלום,11,2025,39
בני ברק,בית שמש,11,2025,68
צומת חולון,אופקים,11,2025,146
קרית מוצקין,דימונה,11,2025,6
"רשל""צ משה דיין",אשדוד עד הלום,11,2025,7122
בית שאן,"רשל""צ משה דיין",11,2025,130
השלום,באר שבע צפון,11,2025,19680
אחיהוד,בית שאן,11,2025,21
ירושלים/יצחק נבון,כפר יהושע,11,2025,346
כפר יהושע,אחיהוד,11,2025,9
אופקים,יבנה מזרח,11,2025,28
אשדוד עד הלום,השלום,11,2025,27430
קרית מלאכי,שדרות,11,2025,9
קרית גת,בת גלים,11,2025,235
רעננה מערב,ראש העין צפון,11,2025,968
אחיהוד,בית יהושע,11,2025,27
רחובות,חוצות מפרץ,11,2025,141
ראש העין צפון,כפר חבד,11,2025,69
יבנה מזרח,קרית מוצקין,11,2025,35
מזכרת בתיה,רמלה,11,2025,360
מזכרת בתיה,ירושלים/יצחק נבון,11,2025,145
קרית מוצקין,אשדוד עד הלום,11,2025,539
דימונה,רמלה,11,2025,4
רמלה,הוד השרון,11,2025,105
אשקלון,עתלית,11,2025,153
כפר ברוך,מרכזית המפרץ/קו החוף,11,2025,1498
הוד השרון,ראשונים,11,2025,9
קרית אריה,אשדוד עד הלום,11,2025,2139
תל אביב ההגנה,בית יהושע,11,2025,3956
רחובות,חוף הכרמל,11,2025,1729
קרית אריה,מודיעין מרכז,11,2025,159
הרצליה,באר שבע מרכז,11,2025,4090
אשדוד עד הלום,עתלית,11,2025,148
באר שבע מרכז,קרית מוצקין,11,2025,1675
בית שאן,סגולה,11,2025,64
תל אביב מרכז,חוף הכרמל,11,2025,30130
יבנה מערב,נהריה,11,2025,418
עכו,מודיעין מרכז,11,2025,486
תל אביב מרכז,קרית מלאכי,11,2025,2868
נהריה,מזכרת בתיה,11,2025,287
באר שבע צפון,קרית אריה,11,2025,744
חולון וולפסון,להבים רהט,11,2025,46
קרית מלאכי,"רשל""צ משה דיין",11,2025,42
סגולה,"רשל""צ משה דיין",11,2025,781
חיפה מרכז,עפולה,11,2025,4783
חיפה מרכז,ירושלים/יצחק נבון,11,2025,3076
רמלה,תל אביב ההגנה,11,2025,3176
בית שמש,רעננה דרום,11,2025,81
בת ים יוספטל,להבים רהט,11,2025,53
אחיהוד,חדרה מערב,11,2025,85
יבנה מזרח,כפר יהושע,11,2025,2
ראשונים,בנימינה,11,2025,122
בת ים יוספטל,יבנה מזרח,11,2025,12
בני ברק,כרמיאל,11,2025,100
רחובות,קרית מלאכי,11,2025,46
בית שאן,קיסריה פרדס חנה,11,2025,51
"רשל""צ משה דיין",חוף הכרמל,11,2025,1475
בית יהושע,בת ים קוממיות,11,2025,73
תל אביב ההגנה,לוד,11,2025,7366
חדרה מערב,רחובות,11,2025,2176
מזכרת בתיה,בית שמש,11,2025,29
נתניה,באר שבע מרכז,11,2025,2825
רחובות,ראשונים,11,2025,23
לוד גני אביב,פאתי מודיעין,11,2025,67
שדרות,השלום,11,2025,5145
"נתב""ג",אחיהוד,11,2025,144
חוצות מפרץ,נתניה,11,2025,354
קרית מוצקין,בני ברק,11,2025,241
חוצות מפרץ,רמלה,11,2025,90
ראשונים,"נתב""ג",11,2025,60
תל אביב מרכז,ראשונים,11,2025,551
הרצליה,מרכזית המפרץ/קו החוף,11,2025,3540
פאתי מודיעין,רעננה מערב,11,2025,28
קרית אריה,נתניה,11,2025,1072
מודיעין מרכז,דימונה,11,2025,8
"נתב""ג",כפר סבא,11,2025,831
כרמיאל,נתניה קריית ספיר,11,2025,433
ראש העין צפון,בני ברק,11,2025,2282
הוד השרון,קרית חיים,11,2025,26
"רשל""צ משה דיין",בת ים קוממיות,11,2025,180
דימונה,בת ים קוממיות,11,2025,5
באר יעקב,עתלית,11,2025,57
רעננה דרום,כפר יהושע,11,2025,9
כפר יהושע,בת ים קוממיות,11,2025,14
קרית מלאכי,בית יהושע,11,2025,81
חולון וולפסון,באר יעקב,11,2025,59
חוצות מפרץ,בת ים יוספטל,11,2025,103
כפר ברוך,קרית חיים,11,2025,2
אופקים,חולון וולפסון,11,2025,245
צומת חולון,תל אביב ההגנה,11,2025,63
קרית חיים,חדרה מערב,11,2025,123
כרמיאל,חולון וולפסון,11,2025,163
יבנה מערב,הרצליה,11,2025,836
נהריה,אופקים,11,2025,351
קרית מלאכי,בית שמש,11,2025,12
באר שבע צפון,רמלה,11,2025,1541
עכו,השלום,11,2025,4402
רמלה,פאתי מודיעין,11,2025,5
לוד גני אביב,נתניה קריית ספיר,11,2025,114
תל אביב מרכז,בית שאן,11,2025,1389
עכו,מזכרת בתיה,11,2025,109
כפר יהושע,כפר חבד,11,2025,26
קרית מוצקין,סגולה,11,2025,182
השלום,אחיהוד,11,2025,1187
להבים רהט,באר יעקב,11,2025,25
אחיהוד,הרצליה,11,2025,355
סגולה,מודיעין מרכז,11,2025,52
באר שבע מרכז,כפר יהושע,11,2025,156
אופקים,רעננה מערב,11,2025,142
רעננה מערב,בית שמש,11,2025,85
בית יהושע,חולון וולפסון,11,2025,169
רעננה מערב,בית יהושע,11,2025,68
שדרות,מזכרת בתיה,11,2025,17
קרית חיים,פאתי מודיעין,11,2025,23
בנימינה,לוד גני אביב,11,2025,71
בני ברק,הרצליה,11,2025,345
באר שבע מרכז,מרכזית המפרץ/קו החוף,11,2025,3784
להבים רהט,עתלית,11,2025,31
תא אוניברסיטה,פאתי מודיעין,11,2025,3812
בית שמש,כרמיאל,11,2025,306
בת ים קוממיות,אחיהוד,11,2025,2
הרצליה,כפר ברוך,11,2025,168
רעננה דרום,עפולה,11,2025,18
קרית גת,מודיעין מרכז,11,2025,221
חיפה מרכז,קרית חיים,11,2025,993
בני ברק,חוף הכרמל,11,2025,404
מזכרת בתיה,בת גלים,11,2025,248
חדרה מערב,מזכרת בתיה,11,2025,185
נתניה קריית ספיר,רחובות,11,2025,1654
תל אביב מרכז,רעננה דרום,11,2025,1562
נתניה,השלום,11,2025,30707
כפר סבא,חוף הכרמל,11,2025,801
תא אוניברסיטה,מודיעין מרכז,11,2025,9282
רעננה דרום,קיסריה פרדס חנה,11,2025,257
יבנה מזרח,רמלה,11,2025,22
רמלה,השלום,11,2025,7855
עתלית,יבנה מזרח,11,2025,10
הוד השרון,בנימינה,11,2025,456
"נתב""ג",השלום,11,2025,13465
נתניה קריית ספיר,קרית מלאכי,11,2025,93
בת ים יוספטל,קרית מלאכי,11,2025,54
תל אביב ההגנה,תא אוניברסיטה,11,2025,5916
רעננה מערב,בת גלים,11,2025,210
ראשונים,תל אביב ההגנה,11,2025,154
חולון וולפסון,בת גלים,11,2025,164
בית שאן,עפולה,11,2025,1828
לוד גני אביב,בנימינה,11,2025,69
תל אביב מרכז,ירושלים/יצחק נבון,11,2025,66789
כפר חבד,ראשונים,11,2025,11
עפולה,חולון וולפסון,11,2025,43
בת ים קוממיות,ראש העין צפון,11,2025,322
יבנה מערב,בת ים יוספטל,11,2025,3899
אשדוד עד הלום,בת גלים,11,2025,819
בית שמש,חוף הכרמל,11,2025,454
מרכזית המפרץ/קו החוף,לוד,11,2025,908
באר שבע מרכז,לוד גני אביב,11,2025,94
כרמיאל,ירושלים/יצחק נבון,11,2025,2363
חולון וולפסון,תל אביב מרכז,11,2025,1873
"רשל""צ משה דיין",כרמיאל,11,2025,376
"נתב""ג",בנימינה,11,2025,10261
בת גלים,באר שבע מרכז,11,2025,717
אשדוד עד הלום,סגולה,11,2025,690
נתניה,יבנה מזרח,11,2025,442
דימונה,שדרות,11,2025,3
אחיהוד,תא אוניברסיטה,11,2025,673
רעננה דרום,נתניה,11,2025,175
כרמיאל,רחובות,11,2025,428
נתניה קריית ספיר,קרית מוצקין,11,2025,787
חוף הכרמל,יבנה מזרח,11,2025,95
יבנה מערב,לוד גני אביב,11,2025,100
אחיהוד,בית שמש,11,2025,18
בית יהושע,חיפה מרכז,11,2025,379
בית שאן,השלום,11,2025,1528
חדרה מערב,פאתי מודיעין,11,2025,217
תל אביב ההגנה,בני ברק,11,2025,1150
תל אביב ההגנה,מרכזית המפרץ/קו החוף,11,2025,4348
רעננה מערב,השלום,11,2025,8102
עתלית,כרמיאל,11,2025,100
תל אביב מרכז,צומת חולון,11,2025,3285
רמלה,לוד גני אביב,11,2025,106
מרכזית המפרץ/קו החוף,רמלה,11,2025,534
עכו,בית שמש,11,2025,181
פאתי מודיעין,בית שאן,11,2025,58
מודיעין מרכז,בני ברק,11,2025,118
בית שמש,קרית אריה,11,2025,157
רמלה,רעננה דרום,11,2025,72
בני ברק,בית יהושע,11,2025,263
נהריה,קרית מוצקין,11,2025,10415
דימונה,קרית אריה,11,2025,9
ירושלים/יצחק נבון,לוד,11,2025,2002
עתלית,תא אוניברסיטה,11,2025,1956
אופקים,תל אביב מרכז,11,2025,2766
השלום,צומת חולון,11,2025,2563
חוצות מפרץ,מרכזית המפרץ/קו החוף,11,2025,1079
חוצות מפרץ,בני ברק,11,2025,87
אשדוד עד הלום,ראש העין צפון,11,2025,797
צומת חולון,מודיעין מרכז,11,2025,37
כפר סבא,חולון וולפסון,11,2025,350
בני ברק,נתניה קריית ספיר,11,2025,377
בת גלים,לוד,11,2025,399
קרית אריה,קרית מוצקין,11,2025,451
"רשל""צ משה דיין",קרית מוצקין,11,2025,798
קרית מוצקין,חולון וולפסון,11,2025,171
"רשל""צ משה דיין",נתיבות,11,2025,1487
קרית גת,כרמיאל,11,2025,447
רחובות,מזכרת בתיה,11,2025,13
מרכזית המפרץ/קו החוף,ירושלים/יצחק נבון,11,2025,4887
שדרות,לוד,11,2025,490
סגולה,עכו,11,2025,107
רעננה דרום,באר יעקב,11,2025,95
ראשונים,להבים רהט,11,2025,40
עתלית,אופקים,11,2025,32
השלום,בית יהושע,11,2025,27643
חדרה מערב,חוף הכרמל,11,2025,2785
כרמיאל,בית שאן,11,2025,137
קרית אריה,כרמיאל,11,2025,270
פאתי מודיעין,עכו,11,2025,210
כרמיאל,"נתב""ג",11,2025,2200
ירושלים/יצחק נבון,באר שבע מרכז,11,2025,1249
עתלית,חולון וולפסון,11,2025,70
שדרות,באר שבע מרכז,11,2025,2581
לוד גני אביב,יבנה מזרח,11,2025,63
עתלית,בת ים יוספטל,11,2025,55
קרית אריה,בית שמש,11,2025,156
כפר סבא,סגולה,11,2025,253
באר שבע צפון,השלום,11,2025,19512
תא אוניברסיטה,לוד,11,2025,6389
רעננה דרום,לוד,11,2025,209
קיסריה פרדס חנה,כפר יהושע,11,2025,36
כרמיאל,סגולה,11,2025,144
חדרה מערב,באר שבע צפון,11,2025,1130
"רשל""צ משה דיין",בת ים יוספטל,11,2025,1247
באר יעקב,עפולה,11,2025,44
בנימינה,באר שבע צפון,11,2025,1307
ירושלים/יצחק נבון,עתלית,11,2025,850
בנימינה,צומת חולון,11,2025,181
חיפה מרכז,אשקלון,11,2025,511
לוד גני אביב,תל אביב ההגנה,11,2025,3283
"רשל""צ משה דיין",חולון וולפסון,11,2025,534
עפולה,קיסריה פרדס חנה,11,2025,113
"רשל""צ משה דיין",פאתי מודיעין,11,2025,64
מרכזית המפרץ/קו החוף,עפולה,11,2025,12079
קרית גת,יבנה מערב,11,2025,19
ראשונים,כפר יהושע,11,2025,6
יבנה מערב,הוד השרון,11,2025,467
הרצליה,יבנה מערב,11,2025,788
באר יעקב,עכו,11,2025,83
נתיבות,שדרות,11,2025,1367
צומת חולון,בני ברק,11,2025,616
ראשונים,יבנה מזרח,11,2025,13
אשדוד עד הלום,קרית מלאכי,11,2025,27
מזכרת בתיה,להבים רהט,11,2025,306
נתניה קריית ספיר,אחיהוד,11,2025,95
באר שבע צפון,עכו,11,2025,356
אופקים,"נתב""ג",11,2025,389
חדרה מערב,צומת חולון,11,2025,136
מודיעין מרכז,ראשונים,11,2025,10
תל אביב מרכז,קיסריה פרדס חנה,11,2025,13676
תא אוניברסיטה,אופקים,11,2025,1285
קרית מוצקין,הוד השרון,11,2025,188
קרית גת,נתיבות,11,2025,32
באר שבע מרכז,רעננה מערב,11,2025,399
רעננה מערב,קיסריה פרדס חנה,11,2025,231
צומת חולון,להבים רהט,11,2025,43
באר יעקב,דימונה,11,2025,6
כפר סבא,יבנה מערב,11,2025,733
אשקלון,ראש העין צפון,11,2025,1326
נתיבות,אשדוד עד הלום,11,2025,3848
יבנה מערב,כפר יהושע,11,2025,48
קרית מוצקין,לוד,11,2025,808
פאתי מודיעין,עפולה,11,2025,52
להבים רהט,בת ים יוספטל,11,2025,50
שדרות,אופקים,11,2025,1259
אופקים,בית יהושע,11,2025,295
תל אביב ההגנה,בית שמש,11,2025,3026
כפר חבד,בת ים קוממיות,11,2025,29
בנימינה,נהריה,11,2025,2387
קרית מוצקין,להבים רהט,11,2025,95
באר שבע מרכז,רמלה,11,2025,2675
יבנה מזרח,עתלית,11,2025,20
השלום,הרצליה,11,2025,33907
חיפה מרכז,קיסריה פרדס חנה,11,2025,762
בת ים קוממיות,סגולה,11,2025,161
נהריה,כפר יהושע,11,2025,454
אחיהוד,קרית גת,11,2025,50
אחיהוד,להבים רהט,11,2025,7
עתלית,חיפה מרכז,11,2025,731
נתניה קריית ספיר,רעננה דרום,11,2025,91
קרית חיים,בת ים יוספטל,11,2025,66
ראש העין צפון,השלום,11,2025,14122
נתניה קריית ספיר,מזכרת בתיה,11,2025,143
בנימינה,באר שבע מרכז,11,2025,2628
"נתב""ג",פאתי מודיעין,11,2025,1752
נתיבות,נהריה,11,2025,127
כפר חבד,נתניה קריית ספיר,11,2025,406
חולון וולפסון,דימונה,11,2025,7
בת ים יוספטל,ירושלים/יצחק נבון,11,2025,2002
להבים רהט,קרית מוצקין,11,2025,87
צומת חולון,בת גלים,11,2025,44
בית יהושע,אחיהוד,11,2025,32
נהריה,קרית מלאכי,11,2025,321
קיסריה פרדס חנה,חולון וולפסון,11,2025,128
נהריה,עפולה,11,2025,685
תא אוניברסיטה,בת ים יוספטל,11,2025,5379
קרית גת,באר שבע מרכז,11,2025,5869
אשדוד עד הלום,רעננה מערב,11,2025,322
כפר ברוך,כפר חבד,11,2025,83
קרית חיים,חוצות מפרץ,11,2025,281
"רשל""צ משה דיין",חיפה מרכז,11,2025,428
כפר ברוך,בית שאן,11,2025,726
ירושלים/יצחק נבון,נתניה,11,2025,11462
קרית גת,אופקים,11,2025,168
דימונה,השלום,11,2025,262
קרית מלאכי,רעננה דרום,11,2025,17
בת ים קוממיות,עכו,11,2025,130
"נתב""ג",חולון וולפסון,11,2025,611
בית יהושע,בנימינה,11,2025,1054
בית יהושע,דימונה,11,2025,9
בית שמש,השלום,11,2025,10463
בת ים יוספטל,דימונה,11,2025,6
רעננה מערב,קרית אריה,11,2025,1170
להבים רהט,חיפה מרכז,11,2025,152
חוצות מפרץ,נתניה קריית ספיר,11,2025,179
דימונה,הוד השרון,11,2025,3
נתניה קריית ספיר,יבנה מערב,11,2025,213
אופקים,כרמיאל,11,2025,120
קרית מלאכי,ראשונים,11,2025,45
לוד גני אביב,אשדוד עד הלום,11,2025,285
כפר סבא,קרית אריה,11,2025,3256
תא אוניברסיטה,קרית מוצקין,11,2025,4972
תל אביב מרכז,עתלית,11,2025,3602
הוד השרון,תל אביב ההגנה,11,2025,1618
בנימינה,רעננה מערב,11,2025,408
עפולה,בית שמש,11,2025,52
קרית חיים,אופקים,11,2025,20
כפר ברוך,אופקים,11,2025,46
בת גלים,באר יעקב,11,2025,142
קיסריה פרדס חנה,סגולה,11,2025,185
צומת חולון,נתניה,11,2025,209
בנימינה,קרית אריה,11,2025,903
מודיעין מרכז,נתניה קריית ספיר,11,2025,583
השלום,מודיעין מרכז,11,2025,25861
רמלה,חוצות מפרץ,11,2025,73
חדרה מערב,נהריה,11,2025,988
צומת חולון,קרית גת,11,2025,45
קיסריה פרדס חנה,אופקים,11,2025,127
אופקים,חדרה מערב,11,2025,385
באר יעקב,ראש העין צפון,11,2025,89
לוד,שדרות,11,2025,463
נתניה קריית ספיר,בת ים יוספטל,11,2025,519
כפר סבא,כפר חבד,11,2025,148
כרמיאל,ראשונים,11,2025,108
ראש העין צפון,"רשל""צ משה דיין",11,2025,1419
כפר סבא,יבנה מזרח,11,2025,9
"נתב""ג",חוצות מפרץ,11,2025,1245
נתיבות,מזכרת בתיה,11,2025,23
קרית גת,בית שאן,11,2025,81
קרית אריה,באר שבע מרכז,11,2025,1202
כפר סבא,ראש העין צפון,11,2025,969
חוף הכרמל,יבנה מערב,11,2025,697
אשדוד עד הלום,אופקים,11,2025,3159
רמלה,כפר חבד,11,2025,44
להבים רהט,רמלה,11,2025,657
עתלית,מזכרת בתיה,11,2025,45
חוף הכרמל,קרית גת,11,2025,612
נתיבות,חיפה מרכז,11,2025,67
נתיבות,קרית גת,11,2025,38
קרית חיים,ירושלים/יצחק נבון,11,2025,597
אופקים,בת גלים,11,2025,71
הרצליה,תל אביב ההגנה,11,2025,9167
בת ים קוממיות,חוצות מפרץ,11,2025,36
אשדוד עד הלום,בני ברק,11,2025,2240
חולון וולפסון,חיפה מרכז,11,2025,154
אשקלון,כפר חבד,11,2025,494
פאתי מודיעין,בית יהושע,11,2025,135
כפר חבד,קיסריה פרדס חנה,11,2025,158
דימונה,יבנה מערב,11,2025,5
תל אביב מרכז,חדרה מערב,11,2025,26439
בית שמש,ירושלים/יצחק נבון,11,2025,62
נתניה,עתלית,11,2025,285
צומת חולון,קרית חיים,11,2025,12
לוד,חיפה מרכז,11,2025,455
תל אביב מרכז,מודיעין מרכז,11,2025,14293
קיסריה פרדס חנה,עתלית,11,2025,192
בית שמש,כפר חבד,11,2025,776
אשקלון,סגולה,11,2025,1011
כפר יהושע,קרית מלאכי,11,2025,18
קרית מוצקין,ראש העין צפון,11,2025,291
רחובות,נתניה קריית ספיר,11,2025,1676
בית שמש,יבנה מזרח,11,2025,55
עתלית,ראש העין צפון,11,2025,69
קרית מלאכי,קרית מוצקין,11,2025,197
קרית אריה,סגולה,11,2025,274
לוד,יבנה מערב,11,2025,188
אחיהוד,שדרות,11,2025,10
נתיבות,לוד,11,2025,544
כפר סבא,נתיבות,11,2025,163
כרמיאל,בת ים יוספטל,11,2025,191
קרית מוצקין,השלום,11,2025,11207
מזכרת בתיה,נהריה,11,2025,274
תל אביב ההגנה,קרית מלאכי,11,2025,995
חולון וולפסון,קרית גת,11,2025,160
כפר סבא,בת ים יוספטל,11,2025,1103
אופקים,קיסריה פרדס חנה,11,2025,142
בית שאן,חולון וולפסון,11,2025,29
בית שאן,אשדוד עד הלום,11,2025,140
קרית חיים,כפר חבד,11,2025,12
עתלית,השלום,11,2025,4382
קרית מוצקין,אחיהוד,11,2025,468
רמלה,נתיבות,11,2025,112
בית יהושע,כפר ברוך,11,2025,15
אחיהוד,קרית מוצקין,11,2025,505
חדרה מערב,תא אוניברסיטה,11,2025,12024
ירושלים/יצחק נבון,השלום,11,2025,82041
חוף הכרמל,נהריה,11,2025,9106
להבים רהט,השלום,11,2025,4686
קרית מלאכי,קרית גת,11,2025,283
לוד גני אביב,רמלה,11,2025,131
חוצות מפרץ,סגולה,11,2025,67
כפר חבד,חולון וולפסון,11,2025,221
השלום,בני ברק,11,2025,1159
רחובות,בני ברק,11,2025,219
באר שבע צפון,באר יעקב,11,2025,216
קרית מלאכי,חיפה מרכז,11,2025,156
קיסריה פרדס חנה,לוד גני אביב,11,2025,59
אחיהוד,קרית חיים,11,2025,107
קרית מוצקין,בת ים יוספטל,11,2025,262
חדרה מערב,בית שאן,11,2025,140
עתלית,אחיהוד,11,2025,24
חיפה מרכז,מודיעין מרכז,11,2025,720
חולון וולפסון,יבנה מערב,11,2025,1686
תא אוניברסיטה,ראשונים,11,2025,293
רחובות,חדרה מערב,11,2025,2240
באר שבע מרכז,באר שבע צפון,11,2025,511
נתיבות,רמלה,11,2025,120
תל אביב מרכז,פאתי מודיעין,11,2025,7392
באר יעקב,חיפה מרכז,11,2025,125
מרכזית המפרץ/קו החוף,הרצליה,11,2025,3556
שדרות,קרית אריה,11,2025,519
בית יהושע,רעננה דרום,11,2025,14
קרית גת,קרית אריה,11,2025,219
עכו,ירושלים/יצחק נבון,11,2025,2536
לוד,צומת חולון,11,2025,62
הרצליה,עכו,11,2025,1480
אשקלון,יבנה מזרח,11,2025,1385
כפר יהושע,חדרה מערב,11,2025,101
אשקלון,בית שאן,11,2025,121
לוד,באר שבע צפון,11,2025,4334
בית שמש,נתניה,11,2025,1563
קרית מלאכי,צומת חולון,11,2025,36
בית שמש,באר שבע מרכז,11,2025,437
בת ים יוספטל,קרית גת,11,2025,212
חוצות מפרץ,לוד גני אביב,11,2025,4
באר יעקב,קרית גת,11,2025,65
לוד גני אביב,באר שבע מרכז,11,2025,128
באר יעקב,יבנה מערב,11,2025,17
הוד השרון,הרצליה,11,2025,2097
רמלה,יבנה מזרח,11,2025,31
אשדוד עד הלום,חולון וולפסון,11,2025,2471
צומת חולון,"רשל""צ משה דיין",11,2025,195
תל אביב ההגנה,קרית אריה,11,2025,447
מודיעין מרכז,אשקלון,11,2025,400
שדרות,קרית מלאכי,11,2025,9
"רשל""צ משה דיין",ירושלים/יצחק נבון,11,2025,1882
חדרה מערב,קיסריה פרדס חנה,11,2025,820
כפר ברוך,שדרות,11,2025,44
קיסריה פרדס חנה,ראש העין צפון,11,2025,275
מודיעין מרכז,השלום,11,2025,26046
לוד,כפר יהושע,11,2025,50
ירושלים/יצחק נבון,סגולה,11,2025,609
חדרה מערב,כפר סבא,11,2025,409
בית יהושע,קרית מלאכי,11,2025,86
רמלה,קרית מוצקין,11,2025,287
אשקלון,לוד,11,2025,5029
באר יעקב,בית שמש,11,2025,180
חדרה מערב,תל אביב ההגנה,11,2025,6193
דימונה,בית יהושע,11,2025,8
עכו,קיסריה פרדס חנה,11,2025,190
נהריה,רמלה,11,2025,405
כפר ברוך,עתלית,11,2025,86
מרכזית המפרץ/קו החוף,חדרה מערב,11,2025,2333
כרמיאל,אופקים,11,2025,193
בית שמש,חדרה מערב,11,2025,354
בית שאן,מרכזית המפרץ/קו החוף,11,2025,5042
נתיבות,בית יהושע,11,2025,77
קרית מלאכי,באר יעקב,11,2025,37
באר יעקב,בית שאן,11,2025,34
אופקים,חוצות מפרץ,11,2025,37
הוד השרון,חיפה מרכז,11,2025,214
דימונה,מרכזית המפרץ/קו החוף,11,2025,15
תא אוניברסיטה,בני ברק,11,2025,456
נתניה קריית ספיר,תל אביב מרכז,11,2025,9108
בת גלים,ראש העין צפון,11,2025,331
כרמיאל,פאתי מודיעין,11,2025,117
בני ברק,ירושלים/יצחק נבון,11,2025,650
נתניה קריית ספיר,הוד השרון,11,2025,200
סגולה,חיפה מרכז,11,2025,166
רעננה מערב,נתניה,11,2025,462
רמלה,צומת חולון,11,2025,13
מרכזית המפרץ/קו החוף,אשדוד עד הלום,11,2025,1159
בני ברק,רעננה דרום,11,2025,396
השלום,קרית אריה,11,2025,1989
פאתי מודיעין,יבנה מערב,11,2025,34
נתניה קריית ספיר,קיסריה פרדס חנה,11,2025,3612
עפולה,פאתי מודיעין,11,2025,43
כפר סבא,עתלית,11,2025,46
קרית מלאכי,נתניה,11,2025,262
תל אביב ההגנה,עתלית,11,2025,830
עתלית,קרית אריה,11,2025,143
באר שבע מרכז,בת ים קוממיות,11,2025,473
לוד גני אביב,חוצות מפרץ,11,2025,13
תא אוניברסיטה,דימונה,11,2025,55
קרית גת,דימונה,11,2025,14
חדרה מערב,תל אביב מרכז,11,2025,27445
סגולה,קרית גת,11,2025,119
תל אביב מרכז,להבים רהט,11,2025,3251
קרית אריה,תל אביב ההגנה,11,2025,629
מרכזית המפרץ/קו החוף,כרמיאל,11,2025,16606
הוד השרון,קרית גת,11,2025,124
עתלית,כפר ברוך,11,2025,80
הוד השרון,עתלית,11,2025,59
עפולה,צומת חולון,11,2025,19
מרכזית המפרץ/קו החוף,פאתי מודיעין,11,2025,428
נהריה,תל אביב מרכז,11,2025,10069
בית שמש,בני ברק,11,2025,86
רמלה,רחובות,11,2025,169
בת ים יוספטל,מזכרת בתיה,11,2025,94
אופקים,חוף הכרמל,11,2025,324
נהריה,"נתב""ג",11,2025,6101
נהריה,תל אביב ההגנה,11,2025,3062
עפולה,חוף הכרמל,11,2025,5244
השלום,רעננה מערב,11,2025,7649
באר יעקב,מרכזית המפרץ/קו החוף,11,2025,274
חולון וולפסון,הרצליה,11,2025,457
תל אביב מרכז,יבנה מזרח,11,2025,2386
מזכרת בתיה,קיסריה פרדס חנה,11,2025,84
להבים רהט,חוצות מפרץ,11,2025,17
רמלה,באר שבע צפון,11,2025,1526
בית שמש,אשדוד עד הלום,11,2025,325
רעננה מערב,כפר חבד,11,2025,52
אחיהוד,בת גלים,11,2025,1908
ראש העין צפון,באר שבע מרכז,11,2025,1409
עפולה,מודיעין מרכז,11,2025,227
