Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Departure_Time,PassengersAscending,PassengersDescending
2026,1,יום חול,2800,בנימינה,1010,05:02:00,5.0,20.0
2026,1,יום חול,2800,בנימינה,10,05:02:00,42.0,273.0
2026,1,יום חול,9700,אופקים,841,05:02:00,33.0,4.0
2026,1,שישי,2800,בנימינה,6010,05:02:00,2.0,95.0
2025,12,יום חול,8600,"נתב""ג",709,05:03:00,600.0,166.0
2025,12,שישי,8600,"נתב""ג",6709,05:03:00,162.0,61.0
2026,1,יום חול,8600,"נתב""ג",709,05:03:00,505.0,106.0
2026,1,שישי,8600,"נתב""ג",6709,05:03:00,251.0,41.0
2025,12,שישי,4600,השלום,6220,05:06:00,15.0,2.0
2025,12,שישי,4600,,6220,05:06:00,,
2026,1,יום חול,3300,,7,05:06:00,,
2026,1,שישי,4600,השלום,6220,05:06:00,74.0,2.0
2025,12,יום חול,2800,בנימינה,1010,05:07:00,10.0,32.0
2026,1,יום חול,2800,בנימינה,1010,05:07:00,11.0,16.0
2025,12,שישי,4900,,6708,05:08:00,,
2025,12,שישי,4900,תל אביב ההגנה,6708,05:08:00,11.0,101.0
2026,1,שישי,4900,תל אביב ההגנה,6708,05:08:00,9.0,119.0
2025,12,יום חול,3700,תל אביב מרכז,9708,05:09:00,14.0,28.0
2025,12,יום חול,3700,תל אביב מרכז,708,05:09:00,43.0,294.0
2025,12,שישי,9000,יבנה מערב,6843,05:09:00,3.0,5.0
2026,1,יום חול,3700,תל אביב מרכז,9708,05:09:00,5.0,25.0
2026,1,יום חול,3700,תל אביב מרכז,708,05:09:00,27.0,236.0
2025,12,שישי,3700,תל אביב מרכז,6220,05:11:00,59.0,4.0
2026,1,שישי,3700,תל אביב מרכז,6220,05:11:00,77.0,2.0
2025,12,יום חול,1300,חוצות מפרץ,101,05:13:00,523.0,101.0
2025,12,שישי,7300,באר שבע צפון,6841,05:13:00,0.0,6.0
2025,12,שישי,4600,השלום,6708,05:13:00,0.0,31.0
2025,12,שישי,4600,,6708,05:13:00,,
2026,1,יום חול,1300,חוצות מפרץ,101,05:13:00,405.0,70.0
