FromStationName,ToStationName,Month,Year,SUM_Values_Pass
בני ברק,רעננה דרום,10,2025,255
נהריה,להבים רהט,10,2025,158
לוד,תל אביב ההגנה,11,2025,8042
כפר סבא,קיסריה פרדס חנה,10,2025,211
קרית אריה,תל אביב ההגנה,10,2025,548
הוד השרון,נתניה קריית ספיר,10,2025,103
שדרות,כפר ברוך,11,2025,26
השלום,מזכרת בתיה,11,2025,9311
באר שבע צפון,כפר ברוך,10,2025,45
נהריה,רעננה מערב,11,2025,208
קרית מוצקין,תל אביב ההגנה,11,2025,3152
באר שבע צפון,כפר יהושע,10,2025,57
קיסריה פרדס חנה,קרית מוצקין,11,2025,648
מרכזית המפרץ/קו החוף,דימונה,11,2025,8
אופקים,בית שאן,11,2025,72
שדרות,באר יעקב,10,2025,77
לוד גני אביב,אופקים,10,2025,46
ראש העין צפון,רעננה דרום,10,2025,348
לוד,יבנה מזרח,11,2025,1208
מזכרת בתיה,שדרות,11,2025,19
מודיעין מרכז,נתיבות,11,2025,103
הוד השרון,להבים רהט,11,2025,69
קיסריה פרדס חנה,קרית חיים,11,2025,127
כפר חבד,שדרות,11,2025,60
דימונה,נתיבות,10,2025,3
ירושלים/יצחק נבון,השלום,10,2025,66542
כפר ברוך,בית שמש,10,2025,33
חוף הכרמל,רעננה דרום,10,2025,348
לוד גני אביב,עתלית,11,2025,12
רמלה,חוף הכרמל,10,2025,478
אחיהוד,תל אביב ההגנה,11,2025,278
בני ברק,אחיהוד,10,2025,5
בנימינה,פאתי מודיעין,11,2025,809
קרית אריה,קרית חיים,11,2025,65
חולון וולפסון,יבנה מזרח,10,2025,6
עתלית,בית שאן,11,2025,183
דימונה,עתלית,11,2025,1
חוף הכרמל,נתיבות,10,2025,147
סגולה,באר יעקב,10,2025,23
חוף הכרמל,עתלית,11,2025,992
"רשל""צ משה דיין",חוצות מפרץ,11,2025,167
תל אביב ההגנה,נתניה קריית ספיר,10,2025,1906
שדרות,יבנה מזרח,10,2025,31
כפר ברוך,כרמיאל,11,2025,38
נהריה,תא אוניברסיטה,11,2025,4854
אחיהוד,קרית חיים,10,2025,95
תל אביב מרכז,להבים רהט,10,2025,2685
בית שמש,לוד גני אביב,11,2025,143
קרית אריה,מזכרת בתיה,11,2025,138
בת ים קוממיות,נתניה קריית ספיר,10,2025,138
כפר חבד,כפר סבא,11,2025,131
יבנה מערב,השלום,10,2025,11753
רעננה דרום,בית יהושע,11,2025,15
"נתב""ג","רשל""צ משה דיין",11,2025,922
בית יהושע,קיסריה פרדס חנה,11,2025,839
יבנה מזרח,תא אוניברסיטה,11,2025,1112
קרית מוצקין,כרמיאל,11,2025,4567
בני ברק,קרית אריה,10,2025,570
בנימינה,מודיעין מרכז,11,2025,1868
