FromStationName,ToStationName,Month,Year,SUM_Values_Pass
חוף הכרמל,בת ים קוממיות,2,2026,422
בת גלים,אחיהוד,2,2026,1770
עפולה,אופקים,2,2026,92
קרית חיים,עפולה,2,2026,46
"רשל""צ משה דיין",חוצות מפרץ,2,2026,129
רחובות,קרית חיים,2,2026,108
מזכרת בתיה,כפר יהושע,2,2026,5
מודיעין מרכז,נתיבות,2,2026,110
תל אביב ההגנה,לוד,2,2026,7448
כרמיאל,חדרה מערב,2,2026,804
הוד השרון,כפר סבא,2,2026,73
תל אביב מרכז,ראשונים,2,2026,509
כפר סבא,פאתי מודיעין,2,2026,38
חוף הכרמל,כפר יהושע,2,2026,1219
קיסריה פרדס חנה,אחיהוד,2,2026,44
בית שאן,בית יהושע,2,2026,65
להבים רהט,חוף הכרמל,2,2026,318
"נתב""ג",אחיהוד,2,2026,103
אשקלון,מזכרת בתיה,2,2026,29
לוד גני אביב,עתלית,2,2026,3
כפר סבא,כרמיאל,2,2026,200
אופקים,קרית גת,2,2026,149
השלום,כפר ברוך,2,2026,1124
תל אביב מרכז,נהריה,2,2026,9425
סגולה,חדרה מערב,2,2026,145
קיסריה פרדס חנה,בת ים יוספטל,2,2026,184
הרצליה,צומת חולון,2,2026,412
להבים רהט,פאתי מודיעין,2,2026,14
כרמיאל,בני ברק,2,2026,172
ראשונים,הרצליה,2,2026,221
בת גלים,עפולה,2,2026,4502
מרכזית המפרץ/קו החוף,דימונה,2,2026,15
לוד גני אביב,כרמיאל,2,2026,36
יבנה מערב,יבנה מזרח,2,2026,5
רחובות,רעננה מערב,2,2026,532
הוד השרון,לוד,2,2026,174
פאתי מודיעין,באר שבע צפון,2,2026,62
קרית גת,עפולה,2,2026,115
קרית מוצקין,כרמיאל,2,2026,4128
קרית חיים,קרית מלאכי,2,2026,15
רעננה מערב,קרית חיים,2,2026,8
להבים רהט,חדרה מערב,2,2026,127
קרית גת,קיסריה פרדס חנה,2,2026,135
תא אוניברסיטה,תל אביב ההגנה,2,2026,6034
"רשל""צ משה דיין",חוף הכרמל,2,2026,1441
ירושלים/יצחק נבון,קרית אריה,2,2026,1376
חוצות מפרץ,באר שבע מרכז,2,2026,177
עפולה,חולון וולפסון,2,2026,37
קרית אריה,מזכרת בתיה,2,2026,170
הרצליה,בנימינה,2,2026,5733
כפר יהושע,קרית אריה,2,2026,30
כפר יהושע,רעננה דרום,2,2026,19
דימונה,בית שאן,2,2026,4
אשדוד עד הלום,להבים רהט,2,2026,46
פאתי מודיעין,חולון וולפסון,2,2026,90
צומת חולון,באר יעקב,2,2026,11
בית שמש,רחובות,2,2026,707
קרית אריה,נתניה,2,2026,998
נתניה,באר שבע מרכז,2,2026,2687
הוד השרון,כרמיאל,2,2026,214
עתלית,חוף הכרמל,2,2026,866
בית שמש,קרית מלאכי,2,2026,18
מזכרת בתיה,בית שמש,2,2026,63
באר שבע מרכז,שדרות,2,2026,2447
בת ים יוספטל,בית שמש,2,2026,127
תא אוניברסיטה,עפולה,2,2026,1095
שדרות,אחיהוד,2,2026,8
חוף הכרמל,בית שמש,2,2026,354
בית יהושע,בת ים קוממיות,2,2026,90
מזכרת בתיה,בית יהושע,2,2026,84
יבנה מזרח,הוד השרון,2,2026,10
בית יהושע,הרצליה,2,2026,3003
ראש העין צפון,באר יעקב,2,2026,80
השלום,לוד גני אביב,2,2026,6988
קרית חיים,"נתב""ג",2,2026,785
ראש העין צפון,בת ים קוממיות,2,2026,290
כפר סבא,חדרה מערב,2,2026,275
תל אביב ההגנה,חיפה מרכז,2,2026,2437
שדרות,השלום,2,2026,5024
תל אביב מרכז,רעננה מערב,2,2026,4065
קרית מוצקין,בני ברק,2,2026,206
עכו,קרית מלאכי,2,2026,178
רחובות,רעננה דרום,2,2026,377
חולון וולפסון,בית שמש,2,2026,109
רעננה דרום,בת גלים,2,2026,177
רמלה,אופקים,2,2026,85
עתלית,חיפה מרכז,2,2026,742
בת ים יוספטל,קרית חיים,2,2026,44
מזכרת בתיה,בית שאן,2,2026,32
כפר סבא,חיפה מרכז,2,2026,170
תא אוניברסיטה,ראש העין צפון,2,2026,3857
חיפה מרכז,חוף הכרמל,2,2026,967
רעננה דרום,באר שבע מרכז,2,2026,302
הרצליה,חולון וולפסון,2,2026,406
"נתב""ג",קיסריה פרדס חנה,2,2026,618
רחובות,סגולה,2,2026,186
בית שמש,רמלה,2,2026,1256
"נתב""ג",באר יעקב,2,2026,297
קרית אריה,הרצליה,2,2026,1292
"רשל""צ משה דיין",יבנה מערב,2,2026,3246
שדרות,בית שאן,2,2026,71
לוד גני אביב,רעננה דרום,2,2026,42
אשדוד עד הלום,נתיבות,2,2026,3640
להבים רהט,קרית מוצקין,2,2026,95
אופקים,מודיעין מרכז,2,2026,313
קיסריה פרדס חנה,עכו,2,2026,182
קרית חיים,נתיבות,2,2026,17
מודיעין מרכז,קרית מלאכי,2,2026,37
בית שאן,באר שבע מרכז,2,2026,373
באר יעקב,ירושלים/יצחק נבון,2,2026,430
תא אוניברסיטה,השלום,2,2026,12496
עתלית,קרית מוצקין,2,2026,546
סגולה,אופקים,2,2026,303
עכו,באר שבע מרכז,2,2026,797
ראש העין צפון,שדרות,2,2026,674
דימונה,ראשונים,2,2026,9
ראשונים,מרכזית המפרץ/קו החוף,2,2026,67
יבנה מערב,בנימינה,2,2026,576
באר יעקב,צומת חולון,2,2026,16
רעננה מערב,עתלית,2,2026,35
אופקים,פאתי מודיעין,2,2026,57
נתניה קריית ספיר,באר שבע מרכז,2,2026,842
קרית מלאכי,ראש העין צפון,2,2026,88
כפר סבא,קרית גת,2,2026,205
תל אביב מרכז,לוד גני אביב,2,2026,3856
לוד גני אביב,חיפה מרכז,2,2026,33
נתיבות,רעננה מערב,2,2026,84
אשדוד עד הלום,בית שאן,2,2026,113
אחיהוד,השלום,2,2026,1137
ירושלים/יצחק נבון,קרית חיים,2,2026,515
יבנה מזרח,רחובות,2,2026,1335
חולון וולפסון,ירושלים/יצחק נבון,2,2026,1771
נהריה,רחובות,2,2026,539
כפר סבא,אשדוד עד הלום,2,2026,608
לוד,מזכרת בתיה,2,2026,807
השלום,נהריה,2,2026,9150
כפר סבא,נהריה,2,2026,312
כפר סבא,חוצות מפרץ,2,2026,37
להבים רהט,צומת חולון,2,2026,53
יבנה מזרח,קיסריה פרדס חנה,2,2026,212
אחיהוד,ראש העין צפון,2,2026,25
לוד,קרית חיים,2,2026,63
כפר חבד,עתלית,2,2026,47
מרכזית המפרץ/קו החוף,נתניה קריית ספיר,2,2026,669
אשקלון,חיפה מרכז,2,2026,298
באר שבע צפון,רחובות,2,2026,1962
בית יהושע,השלום,2,2026,25394
תל אביב ההגנה,מודיעין מרכז,2,2026,6330
חיפה מרכז,בת ים קוממיות,2,2026,154
הוד השרון,חוף הכרמל,2,2026,616
רמלה,תל אביב מרכז,2,2026,5446
לוד,אחיהוד,2,2026,141
עתלית,קרית גת,2,2026,50
נהריה,כפר יהושע,2,2026,547
נהריה,כרמיאל,2,2026,505
נתיבות,נהריה,2,2026,100
אחיהוד,מזכרת בתיה,2,2026,2
באר שבע מרכז,כפר חבד,2,2026,317
ראש העין צפון,ירושלים/יצחק נבון,2,2026,1563
בית שמש,חיפה מרכז,2,2026,158
חוף הכרמל,בית שאן,2,2026,1948
דימונה,ירושלים/יצחק נבון,2,2026,33
ראשונים,רמלה,2,2026,37
כרמיאל,דימונה,2,2026,7
להבים רהט,אשדוד עד הלום,2,2026,35
חדרה מערב,הרצליה,2,2026,6249
בית שמש,קרית גת,2,2026,39
הוד השרון,תל אביב מרכז,2,2026,6345
בת גלים,הרצליה,2,2026,3376
ראש העין צפון,נתניה,2,2026,450
בת גלים,אשקלון,2,2026,388
אחיהוד,נתיבות,2,2026,3
נתיבות,אשדוד עד הלום,2,2026,3876
מזכרת בתיה,עכו,2,2026,105
רעננה דרום,תא אוניברסיטה,2,2026,551
"נתב""ג",תל אביב מרכז,2,2026,13699
קרית מוצקין,באר שבע צפון,2,2026,672
כפר חבד,בית שאן,2,2026,24
חולון וולפסון,בית שאן,2,2026,17
באר שבע מרכז,רעננה מערב,2,2026,394
אשדוד עד הלום,קרית אריה,2,2026,1784
בית שמש,יבנה מערב,2,2026,87
רעננה מערב,בית שאן,2,2026,23
ראשונים,הוד השרון,2,2026,21
בנימינה,תא אוניברסיטה,2,2026,14856
שדרות,עכו,2,2026,105
קרית מוצקין,לוד,2,2026,860
כפר יהושע,נתיבות,2,2026,14
כרמיאל,בת גלים,2,2026,8638
חולון וולפסון,"נתב""ג",2,2026,585
חיפה מרכז,השלום,2,2026,6944
