Year,Month,WeekPeriod,train_station_code,StationName,Train_number,Planned_Train_Arrivel_Time,PassengersAscending,PassengersDescending
2025,10,שישי,8550,להבים רהט,6020,05:05:00,29.0,5.0
2025,11,יום חול,1400,קרית מוצקין,101,05:05:00,1130.0,59.0
2025,11,יום חול,2300,חוף הכרמל,149,05:05:00,1330.0,7.0
2025,11,יום חול,3300,נתניה,1007,05:05:00,389.0,11.0
2025,11,יום חול,3300,נתניה,7,05:05:00,964.0,117.0
2025,11,שישי,8550,להבים רהט,6020,05:05:00,17.0,3.0
2025,11,שישי,3300,נתניה,6007,05:05:00,112.0,3.0
2025,10,יום חול,700,קרית חיים,101,05:08:00,269.0,15.0
2025,10,יום חול,5800,אשדוד עד הלום,222,05:08:00,662.0,35.0
2025,11,יום חול,700,קרית חיים,101,05:08:00,382.0,24.0
2025,11,יום חול,5800,אשדוד עד הלום,222,05:08:00,1025.0,38.0
2025,10,יום חול,2300,חוף הכרמל,6021,05:11:00,34.0,13.0
2025,10,יום חול,5800,אשדוד עד הלום,6222,05:11:00,31.0,5.0
2025,10,שישי,5800,אשדוד עד הלום,6222,05:11:00,34.0,3.0
2025,10,יום חול,7300,באר שבע צפון,840,05:11:00,6.0,0.0
2025,10,שישי,2300,חוף הכרמל,8021,05:11:00,0.0,16.0
2025,10,שישי,2300,חוף הכרמל,6021,05:11:00,62.0,17.0
2025,11,שישי,2300,חוף הכרמל,6021,05:11:00,30.0,12.0
2025,11,יום חול,7300,באר שבע צפון,840,05:11:00,6.0,0.0
2025,11,שישי,5800,אשדוד עד הלום,6222,05:11:00,24.0,1.0
2025,11,שישי,2300,חוף הכרמל,8021,05:11:00,1.0,16.0
2025,10,יום חול,2500,עתלית,149,05:14:00,286.0,20.0
2025,10,יום חול,9000,יבנה מערב,6616,05:14:00,13.0,0.0
2025,10,שישי,9000,יבנה מערב,6616,05:14:00,19.0,9.0
2025,11,יום חול,2500,עתלית,149,05:14:00,464.0,30.0
2025,11,שישי,9000,יבנה מערב,6616,05:14:00,9.0,6.0
2025,10,יום חול,7000,קרית גת,20,05:15:00,609.0,29.0
2025,11,יום חול,7000,קרית גת,20,05:15:00,949.0,27.0
2025,10,יום חול,3500,הרצליה,7,05:17:00,143.0,131.0
2025,10,יום חול,3500,הרצליה,8007,05:17:00,14.0,19.0
2025,10,יום חול,3500,הרצליה,1007,05:17:00,51.0,22.0
2025,10,יום חול,3500,הרצליה,6007,05:17:00,67.0,22.0
2025,10,שישי,3500,הרצליה,6007,05:17:00,56.0,29.0
2025,10,יום חול,9700,אופקים,6842,05:17:00,0.0,1.0
2025,10,שישי,9700,אופקים,6842,05:17:00,0.0,0.0
2025,11,יום חול,3500,הרצליה,7,05:17:00,188.0,223.0
2025,11,יום חול,3500,הרצליה,1007,05:17:00,61.0,43.0
2025,11,שישי,9700,אופקים,6842,05:17:00,0.0,2.0
2025,11,שישי,3500,הרצליה,6007,05:17:00,51.0,25.0
2025,10,יום חול,5410,יבנה מזרח,222,05:18:00,152.0,22.0
2025,11,יום חול,5410,יבנה מזרח,222,05:18:00,319.0,53.0
2025,10,יום חול,2940,רעננה מערב,613,05:19:00,37.0,3.0
2025,11,יום חול,2940,רעננה מערב,613,05:19:00,80.0,4.0
2025,10,יום חול,1500,עכו,151,05:22:00,923.0,25.0
2025,10,יום חול,2500,עתלית,6021,05:22:00,15.0,1.0
2025,10,יום חול,7000,קרית גת,6020,05:22:00,77.0,1.0
2025,10,יום חול,9800,"רשל""צ משה דיין",6616,05:22:00,10.0,9.0
2025,10,שישי,2500,עתלית,6021,05:22:00,16.0,5.0
2025,10,שישי,9800,"רשל""צ משה דיין",6616,05:22:00,21.0,20.0
2025,10,שישי,7000,קרית גת,6020,05:22:00,114.0,11.0
2025,11,יום חול,1500,עכו,151,05:22:00,1385.0,32.0
2025,11,שישי,7000,קרית גת,6020,05:22:00,78.0,6.0
2025,11,שישי,9800,"רשל""צ משה דיין",6616,05:22:00,29.0,11.0
2025,11,שישי,2500,עתלית,6021,05:22:00,3.0,0.0
2025,11,שישי,2500,עתלית,8021,05:22:00,0.0,0.0
2025,10,יום חול,5410,יבנה מזרח,6222,05:23:00,10.0,0.0
2025,10,שישי,5410,יבנה מזרח,6222,05:23:00,10.0,0.0
2025,11,שישי,5410,יבנה מזרח,6222,05:23:00,13.0,4.0
2025,10,יום חול,2960,רעננה דרום,613,05:24:00,8.0,2.0
2025,10,יום חול,5200,רחובות,222,05:24:00,553.0,197.0
2025,11,יום חול,2960,רעננה דרום,613,05:24:00,5.0,0.0
2025,11,יום חול,5200,רחובות,222,05:24:00,839.0,229.0
2025,10,יום חול,1500,עכו,6023,05:25:00,136.0,10.0
2025,10,יום חול,2100,חיפה מרכז,101,05:25:00,604.0,130.0
2025,10,שישי,1500,עכו,6023,05:25:00,150.0,10.0
2025,10,שישי,1500,עכו,8023,05:25:00,13.0,1.0
2025,11,יום חול,2100,חיפה מרכז,101,05:25:00,877.0,183.0
2025,11,שישי,1500,עכו,8023,05:25:00,52.0,4.0
2025,11,שישי,1500,עכו,6023,05:25:00,74.0,5.0
2025,10,יום חול,2800,בנימינה,149,05:26:00,2119.0,150.0
2025,10,יום חול,4690,בת ים קוממיות,6616,05:26:00,13.0,0.0
2025,10,שישי,4690,בת ים קוממיות,6616,05:26:00,11.0,0.0
2025,11,יום חול,2800,בנימינה,149,05:26:00,3277.0,211.0
2025,11,שישי,4690,בת ים קוממיות,6616,05:26:00,9.0,4.0
2025,10,יום חול,6150,קרית מלאכי,20,05:27:00,202.0,9.0
2025,10,יום חול,9700,אופקים,840,05:27:00,0.0,13.0
2025,11,יום חול,9700,אופקים,840,05:27:00,0.0,18.0
2025,11,יום חול,6150,קרית מלאכי,20,05:27:00,362.0,4.0
2025,10,יום חול,2100,חיפה מרכז,8123,05:28:00,83.0,1.0
2025,10,יום חול,9200,הוד השרון,613,05:28:00,119.0,3.0
2025,11,יום חול,9200,הוד השרון,613,05:28:00,205.0,2.0
2025,10,יום חול,2200,בת גלים,101,05:30:00,315.0,134.0
2025,10,יום חול,5300,באר יעקב,222,05:30:00,268.0,10.0
2025,11,יום חול,2200,בת גלים,101,05:30:00,517.0,268.0
2025,11,יום חול,5300,באר יעקב,222,05:30:00,421.0,16.0
2025,10,יום חול,5200,רחובות,6222,05:31:00,53.0,18.0
2025,10,שישי,5200,רחובות,6222,05:31:00,48.0,6.0
2025,10,יום חול,9650,נתיבות,6618,05:31:00,33.0,1.0
2025,10,יום חול,8700,כפר סבא,613,05:31:00,170.0,3.0
2025,10,שישי,9650,נתיבות,6618,05:31:00,29.0,2.0
2025,11,שישי,5200,רחובות,6222,05:31:00,50.0,3.0
2025,11,יום חול,8700,כפר סבא,613,05:31:00,299.0,1.0
2025,11,שישי,9650,נתיבות,6618,05:31:00,37.0,2.0
2025,10,יום חול,1400,קרית מוצקין,151,05:32:00,811.0,69.0
2025,11,יום חול,1400,קרית מוצקין,151,05:32:00,1109.0,77.0
2025,10,יום חול,2200,בת גלים,8123,05:33:00,31.0,0.0
2025,10,יום חול,4660,חולון וולפסון,6616,05:34:00,11.0,3.0
2025,10,יום חול,5800,אשדוד עד הלום,616,05:34:00,907.0,90.0
2025,10,שישי,4660,חולון וולפסון,6616,05:34:00,14.0,6.0
2025,11,יום חול,5800,אשדוד עד הלום,616,05:34:00,1223.0,170.0
2025,11,שישי,4660,חולון וולפסון,6616,05:34:00,26.0,11.0
2025,10,יום חול,700,קרית חיים,151,05:35:00,156.0,10.0
2025,10,יום חול,1500,עכו,21,05:35:00,1165.0,26.0
2025,10,יום חול,1400,קרית מוצקין,6023,05:35:00,66.0,13.0
2025,10,שישי,1400,קרית מוצקין,6023,05:35:00,82.0,16.0
2025,10,שישי,1400,קרית מוצקין,8023,05:35:00,4.0,4.0
2025,11,יום חול,1500,עכו,21,05:35:00,1936.0,42.0
2025,11,יום חול,700,קרית חיים,151,05:35:00,281.0,15.0
2025,11,שישי,1400,קרית מוצקין,8023,05:35:00,14.0,4.0
2025,11,שישי,1400,קרית מוצקין,6023,05:35:00,33.0,10.0
2025,10,יום חול,2300,חוף הכרמל,101,05:36:00,1626.0,242.0
2025,10,יום חול,2800,בנימינה,6021,05:36:00,124.0,13.0
2025,10,יום חול,5000,לוד,222,05:36:00,789.0,329.0
2025,10,שישי,2800,בנימינה,6021,05:36:00,91.0,15.0
2025,10,יום חול,6900,מזכרת בתיה,20,05:36:00,448.0,10.0
2025,11,יום חול,2300,חוף הכרמל,101,05:36:00,2518.0,296.0
2025,11,יום חול,5000,לוד,222,05:36:00,1124.0,539.0
2025,11,יום חול,6900,מזכרת בתיה,20,05:36:00,631.0,10.0
2025,11,שישי,2800,בנימינה,6021,05:36:00,33.0,11.0
2025,11,שישי,2800,בנימינה,8021,05:36:00,2.0,4.0
2025,10,יום חול,8800,ראש העין צפון,613,05:37:00,409.0,6.0
2025,10,יום חול,6150,קרית מלאכי,6020,05:37:00,1.0,1.0
2025,10,יום חול,5300,באר יעקב,6222,05:37:00,17.0,2.0
2025,10,שישי,6150,קרית מלאכי,6020,05:37:00,20.0,5.0
2025,10,שישי,5300,באר יעקב,6222,05:37:00,16.0,1.0
2025,11,שישי,6150,קרית מלאכי,6020,05:37:00,18.0,2.0
2025,11,שישי,5300,באר יעקב,6222,05:37:00,27.0,0.0
2025,11,יום חול,8800,ראש העין צפון,613,05:37:00,681.0,7.0
2025,10,יום חול,2820,קיסריה פרדס חנה,221,05:38:00,807.0,13.0
2025,10,יום חול,2940,רעננה מערב,6613,05:38:00,8.0,1.0
2025,10,יום חול,4640,צומת חולון,6616,05:38:00,2.0,0.0
2025,10,שישי,4640,צומת חולון,6616,05:38:00,7.0,0.0
2025,10,שישי,2940,רעננה מערב,6613,05:38:00,6.0,2.0
2025,11,יום חול,2940,רעננה מערב,301,05:38:00,15.0,1.0
2025,11,יום חול,2820,קיסריה פרדס חנה,221,05:38:00,1474.0,2.0
2025,11,שישי,2940,רעננה מערב,6613,05:38:00,4.0,6.0
2025,11,שישי,4640,צומת חולון,6616,05:38:00,0.0,0.0
2025,10,יום חול,700,קרית חיים,6023,05:39:00,9.0,2.0
2025,10,יום חול,1820,אחיהוד,441,05:39:00,278.0,1.0
2025,10,יום חול,2300,חוף הכרמל,8123,05:39:00,140.0,2.0
2025,10,שישי,700,קרית חיים,8023,05:39:00,0.0,2.0
2025,11,יום חול,1820,אחיהוד,441,05:39:00,503.0,0.0
2025,10,שישי,700,קרית חיים,6023,05:39:00,25.0,8.0
2025,11,שישי,700,קרית חיים,6023,05:39:00,16.0,4.0
2025,11,שישי,700,קרית חיים,8023,05:39:00,6.0,5.0
2025,10,שישי,9600,שדרות,6618,05:40:00,60.0,2.0
2025,10,יום חול,9600,שדרות,6618,05:40:00,26.0,0.0
2025,11,שישי,9600,שדרות,6618,05:40:00,59.0,1.0
2025,11,שישי,2820,קיסריה פרדס חנה,8021,05:41:00,1.0,0.0
2025,10,יום חול,4250,סגולה,613,05:42:00,80.0,1.0
2025,10,יום חול,9650,נתיבות,618,05:42:00,913.0,5.0
2025,11,יום חול,4250,סגולה,613,05:42:00,151.0,0.0
2025,11,יום חול,9650,נתיבות,618,05:42:00,1377.0,7.0
2025,10,יום חול,2960,רעננה דרום,6613,05:43:00,2.0,0.0
2025,10,יום חול,4800,כפר חבד,222,05:43:00,83.0,4.0
2025,10,יום חול,5000,לוד,950,05:43:00,283.0,33.0
2025,11,יום חול,2960,רעננה דרום,301,05:43:00,2.0,1.0
2025,10,שישי,2960,רעננה דרום,6613,05:43:00,7.0,3.0
2025,11,יום חול,4800,כפר חבד,222,05:43:00,129.0,108.0
2025,11,שישי,2960,רעננה דרום,6613,05:43:00,2.0,4.0
2025,11,יום חול,5000,לוד,950,05:43:00,334.0,55.0
2025,10,יום חול,5000,לוד,6222,05:44:00,97.0,19.0
2025,10,שישי,5000,לוד,6222,05:44:00,97.0,22.0
2025,11,שישי,5000,לוד,6222,05:44:00,131.0,26.0
2025,10,יום חול,1260,עפולה,59,05:45:00,1672.0,7.0
2025,10,יום חול,1400,קרית מוצקין,21,05:45:00,1124.0,39.0
2025,10,יום חול,2820,קיסריה פרדס חנה,6221,05:45:00,24.0,2.0
2025,10,יום חול,3100,חדרה מערב,221,05:45:00,3005.0,60.0
2025,10,שישי,2820,קיסריה פרדס חנה,6221,05:45:00,45.0,6.0
2025,11,יום חול,1400,קרית מוצקין,21,05:45:00,1709.0,68.0
2025,10,יום חול,9000,יבנה מערב,616,05:45:00,474.0,125.0
2025,11,יום חול,1260,עפולה,59,05:45:00,3161.0,24.0
2025,11,יום חול,4690,בת ים קוממיות,302,05:45:00,58.0,0.0
2025,11,יום חול,3100,חדרה מערב,221,05:45:00,4336.0,36.0
2025,11,יום חול,9000,יבנה מערב,616,05:45:00,668.0,184.0
2025,11,שישי,2820,קיסריה פרדס חנה,6221,05:45:00,42.0,3.0
2025,10,יום חול,5010,רמלה,20,05:46:00,344.0,111.0
2025,11,יום חול,5010,רמלה,20,05:46:00,721.0,123.0
2025,10,יום חול,4170,קרית אריה,613,05:47:00,135.0,51.0
2025,10,שישי,9200,הוד השרון,6613,05:47:00,24.0,4.0
2025,10,יום חול,9200,הוד השרון,6613,05:47:00,16.0,2.0
2025,11,יום חול,4170,קרית אריה,613,05:47:00,331.0,98.0
2025,11,יום חול,9200,הוד השרון,301,05:47:00,23.0,3.0
2025,11,שישי,9200,הוד השרון,6613,05:47:00,35.0,7.0
2025,11,שישי,3100,חדרה מערב,8021,05:47:00,0.0,5.0
2025,10,יום חול,6900,מזכרת בתיה,6020,05:48:00,13.0,0.0
2025,10,יום חול,7300,באר שבע צפון,22,05:48:00,1254.0,0.0
2025,10,שישי,6900,מזכרת בתיה,6020,05:48:00,13.0,4.0
2025,11,יום חול,7300,באר שבע צפון,22,05:48:00,1949.0,1.0
2025,11,שישי,6900,מזכרת בתיה,6020,05:48:00,12.0,4.0
2025,10,יום חול,5150,לוד גני אביב,950,05:49:00,287.0,23.0
2025,11,יום חול,5150,לוד גני אביב,950,05:49:00,524.0,44.0
2025,10,יום חול,8700,כפר סבא,6613,05:50:00,12.0,4.0
2025,10,שישי,8700,כפר סבא,6613,05:50:00,35.0,5.0
2025,11,שישי,8700,כפר סבא,6613,05:50:00,17.0,9.0
2025,11,יום חול,8700,כפר סבא,301,05:50:00,58.0,1.0
2025,10,יום חול,1400,קרית מוצקין,441,05:51:00,42.0,25.0
2025,10,יום חול,3100,חדרה מערב,6221,05:51:00,97.0,2.0
2025,10,יום חול,5000,לוד,20,05:51:00,340.0,263.0
2025,10,יום חול,4800,כפר חבד,6222,05:51:00,8.0,0.0
2025,10,שישי,4800,כפר חבד,6222,05:51:00,25.0,0.0
2025,11,יום חול,1400,קרית מוצקין,441,05:51:00,99.0,40.0
2025,10,שישי,3100,חדרה מערב,6221,05:51:00,162.0,1.0
2025,11,יום חול,5000,לוד,20,05:51:00,580.0,381.0
2025,11,שישי,3100,חדרה מערב,6221,05:51:00,146.0,2.0
2025,11,שישי,4800,כפר חבד,6222,05:51:00,30.0,23.0
2025,10,יום חול,2100,חיפה מרכז,151,05:52:00,553.0,129.0
2025,10,יום חול,4100,בני ברק,613,05:52:00,22.0,84.0
2025,10,יום חול,5900,אשקלון,6618,05:52:00,197.0,11.0
2025,10,שישי,5900,אשקלון,6618,05:52:00,224.0,15.0
2025,10,יום חול,9600,שדרות,618,05:52:00,916.0,1.0
2025,11,יום חול,2100,חיפה מרכז,151,05:52:00,998.0,175.0
2025,11,יום חול,4100,בני ברק,613,05:52:00,76.0,151.0
2025,11,שישי,5900,אשקלון,6618,05:52:00,135.0,8.0
2025,11,יום חול,9600,שדרות,618,05:52:00,1317.0,14.0
2025,10,יום חול,7300,באר שבע צפון,6022,05:53:00,80.0,0.0
2025,10,שישי,7300,באר שבע צפון,6022,05:53:00,154.0,0.0
2025,11,יום חול,4660,חולון וולפסון,302,05:53:00,40.0,0.0
2025,11,שישי,7300,באר שבע צפון,6022,05:53:00,55.0,2.0
2025,10,יום חול,2940,רעננה מערב,615,05:54:00,154.0,2.0
2025,10,יום חול,3300,נתניה,221,05:54:00,611.0,126.0
2025,11,יום חול,3300,נתניה,221,05:54:00,933.0,236.0
2025,11,יום חול,2940,רעננה מערב,615,05:54:00,247.0,6.0
2025,10,יום חול,700,קרית חיים,441,05:55:00,65.0,12.0
2025,10,יום חול,1500,עכו,103,05:55:00,1544.0,67.0
2025,10,יום חול,3400,בית יהושע,955,05:55:00,998.0,76.0
2025,11,יום חול,1500,עכו,103,05:55:00,2372.0,115.0
2025,11,יום חול,3400,בית יהושע,955,05:55:00,1762.0,127.0
2025,11,יום חול,700,קרית חיים,441,05:55:00,94.0,15.0
2025,10,יום חול,2100,חיפה מרכז,6023,05:56:00,51.0,13.0
2025,10,יום חול,2800,בנימינה,101,05:56:00,3432.0,362.0
2025,10,שישי,2100,חיפה מרכז,8023,05:56:00,2.0,2.0
2025,10,יום חול,9800,"רשל""צ משה דיין",616,05:56:00,351.0,338.0
2025,10,שישי,8800,ראש העין צפון,6613,05:56:00,37.0,4.0
2025,10,שישי,2100,חיפה מרכז,6023,05:56:00,74.0,25.0
2025,10,יום חול,8800,ראש העין צפון,6613,05:56:00,31.0,3.0
2025,11,יום חול,2800,בנימינה,101,05:56:00,5222.0,596.0
2025,11,יום חול,4640,צומת חולון,302,05:56:00,43.0,0.0
2025,11,שישי,2100,חיפה מרכז,6023,05:56:00,42.0,10.0
2025,11,יום חול,9800,"רשל""צ משה דיין",616,05:56:00,475.0,483.0
2025,11,יום חול,8800,ראש העין צפון,301,05:56:00,89.0,3.0
2025,11,שישי,2100,חיפה מרכז,8023,05:56:00,8.0,11.0
2025,11,שישי,8800,ראש העין צפון,6613,05:56:00,39.0,6.0
2025,10,יום חול,2800,בנימינה,8123,05:57:00,148.0,9.0
2025,10,יום חול,2200,בת גלים,151,05:57:00,496.0,158.0
2025,11,יום חול,2200,בת גלים,151,05:57:00,908.0,251.0
2025,10,יום חול,1500,עכו,8125,05:58:00,164.0,5.0
2025,10,יום חול,2960,רעננה דרום,615,05:58:00,17.0,0.0
2025,10,יום חול,5010,רמלה,6020,05:58:00,19.0,4.0
2025,10,יום חול,8600,"נתב""ג",710,05:58:00,567.0,454.0
2025,10,שישי,5010,רמלה,6020,05:58:00,52.0,10.0
2025,11,יום חול,2960,רעננה דרום,615,05:58:00,26.0,6.0
2025,11,שישי,5010,רמלה,6020,05:58:00,55.0,9.0
2025,11,יום חול,8600,"נתב""ג",710,05:58:00,635.0,569.0
