FromStationName,ToStationName,Month,Year,SUM_Values_Pass
באר יעקב,פאתי מודיעין,12,2025,26
פאתי מודיעין,יבנה מזרח,1,2026,17
מרכזית המפרץ/קו החוף,חיפה מרכז,12,2025,1262
ראשונים,להבים רהט,12,2025,37
יבנה מזרח,עכו,12,2025,48
חוף הכרמל,השלום,12,2025,34079
כפר ברוך,חיפה מרכז,12,2025,1353
רמלה,קרית גת,1,2026,1294
כפר חבד,תא אוניברסיטה,1,2026,2194
הוד השרון,דימונה,1,2026,1
אופקים,חוף הכרמל,1,2026,372
רחובות,תל אביב מרכז,12,2025,22731
רמלה,חולון וולפסון,12,2025,209
קיסריה פרדס חנה,נהריה,1,2026,452
רעננה דרום,נתניה,12,2025,208
באר שבע מרכז,השלום,1,2026,13715
רעננה מערב,רמלה,1,2026,132
כפר ברוך,קרית מוצקין,12,2025,67
השלום,רעננה מערב,1,2026,7581
קיסריה פרדס חנה,באר שבע מרכז,12,2025,515
מזכרת בתיה,רמלה,1,2026,385
ראשונים,בת גלים,12,2025,93
נהריה,באר יעקב,12,2025,162
אופקים,יבנה מזרח,1,2026,42
קרית גת,קרית חיים,12,2025,42
רמלה,כפר חבד,12,2025,81
תל אביב ההגנה,בני ברק,12,2025,1387
אשקלון,צומת חולון,1,2026,678
עכו,יבנה מערב,1,2026,200
באר יעקב,בית שמש,12,2025,179
קרית אריה,ראש העין צפון,12,2025,1996
בנימינה,צומת חולון,12,2025,252
אשקלון,באר שבע צפון,12,2025,2753
באר שבע מרכז,"רשל""צ משה דיין",12,2025,2156
נתניה קריית ספיר,קרית מוצקין,12,2025,799
אחיהוד,בית יהושע,1,2026,23
אשקלון,כפר סבא,12,2025,1056
סגולה,הוד השרון,1,2026,124
קרית מוצקין,שדרות,12,2025,176
קרית גת,שדרות,1,2026,10
באר שבע מרכז,מזכרת בתיה,1,2026,2712
רעננה מערב,נתיבות,12,2025,83
קרית חיים,"רשל""צ משה דיין",1,2026,110
מודיעין מרכז,רעננה מערב,1,2026,160
מרכזית המפרץ/קו החוף,ירושלים/יצחק נבון,12,2025,5614
הרצליה,באר שבע מרכז,1,2026,3801
חוף הכרמל,כפר ברוך,1,2026,1205
אחיהוד,"נתב""ג",1,2026,153
בית יהושע,לוד גני אביב,12,2025,87
פאתי מודיעין,חוצות מפרץ,12,2025,121
אשדוד עד הלום,"רשל""צ משה דיין",1,2026,6429
הוד השרון,חיפה מרכז,1,2026,171
רעננה דרום,מזכרת בתיה,1,2026,66
להבים רהט,"רשל""צ משה דיין",12,2025,91
עכו,רעננה דרום,1,2026,96
באר שבע צפון,רעננה מערב,1,2026,333
תל אביב ההגנה,עכו,1,2026,2115
הוד השרון,אשדוד עד הלום,12,2025,632
קרית גת,להבים רהט,1,2026,386
מודיעין מרכז,תל אביב מרכז,12,2025,14517
שדרות,באר שבע מרכז,12,2025,2395
בת ים יוספטל,דימונה,12,2025,3
יבנה מערב,כפר יהושע,12,2025,52
רעננה מערב,יבנה מערב,1,2026,413
רמלה,באר שבע צפון,1,2026,1430
כפר ברוך,כפר חבד,12,2025,71
בת גלים,באר שבע צפון,12,2025,474
תל אביב מרכז,עכו,12,2025,6059
